Izena, Altuera , Probintzia 
--------------------------- 
1- Albertia, 868, Araba
2- Aratz, 1443, Araba
3- Ipizte, 1062, Araba
4- Jarindo, 896, Araba
5- Kapildui, 1177, Araba
6- Mirutegi, 1166, Araba
7- Soila, 993, Araba
8- Toloño, 1263, Araba
